year,indie_open_world_games,aaa_open_world_games
1994,0,0
1995,1,0
1996,0,2
1997,1,0
1998,1,2
1999,1,7
2000,0,3
2001,0,4
2002,0,7
2003,3,5
2004,1,9
2005,2,12
2006,1,21
2007,2,9
2008,0,20
2009,2,23
2010,3,16
2011,7,22
2012,12,22
2013,9,22
2014,22,31
2015,35,24
2016,43,32
2017,53,43
2018,60,38
2019,71,28
2020,108,22
2021,159,31
2022,95,33
2023,119,37
2024,135,22
